Name,SizeMB,Rank,BrokenAt,Status
gnn_ASCAD-2,2.73,58,3,Weak
gnn_ASCAD-3,2.73,77,>2000,Weak
gnn_ASCAD-5,2.73,86,>2000,Weak
gnn_ASCAD-4,2.73,103,>2000,Weak
gnn_ASCAD-6,2.73,159,>2000,Weak
gnn_ASCAD-1,0.00,170,>2000,Weak
gnn_ASCAD-7,2.73,218,>2000,Weak
gnn_ASCAD-8,2.73,225,>2000,Weak
gnn_ASCAD-9,2.73,227,>2000,Weak
gnn_ASCAD-16,2.73,232,>2000,Weak
gnn_ASCAD-10,2.73,232,>2000,Weak
gnn_ASCAD-18,2.73,233,>2000,Weak
gnn_ASCAD-11,2.73,234,>2000,Weak
gnn_ASCAD-23,2.73,235,>2000,Weak
gnn_ASCAD-14,2.73,235,31,Weak
gnn_ASCAD-13,2.73,235,>2000,Weak
gnn_ASCAD-21,2.73,235,>2000,Weak
gnn_ASCAD-19,2.73,235,>2000,Weak
gnn_ASCAD-22,2.73,235,>2000,Weak
gnn_ASCAD-20,2.73,236,>2000,Weak
gnn_ASCAD-26,2.73,236,>2000,Weak
gnn_ASCAD-25,2.73,236,>2000,Weak
gnn_ASCAD-12,2.73,237,>2000,Weak
gnn_ASCAD-15,2.73,237,>2000,Weak
gnn_ASCAD-17,2.73,237,332,Weak
gnn_ASCAD-24,2.73,237,>2000,Weak
