Checkpoint,Final_Rank,Traces_to_Rank_0
trans_long-1,161,N/A
trans_long-2,143,N/A
trans_long-3,141,N/A
trans_long-4,67,N/A
trans_long-5,46,N/A
trans_long-6,49,N/A
trans_long-7,64,N/A
trans_long-8,71,N/A
trans_long-9,88,N/A
trans_long-10,96,N/A
trans_long-11,98,N/A
