Name,SizeMB,Rank,BrokenAt,Status
gnn_ASCAD-16,2.73,2,98,OK
gnn_ASCAD-18,2.73,2,>10000,OK
gnn_ASCAD-25,2.73,2,9383,OK
gnn_ASCAD-24,2.73,2,>10000,OK
gnn_ASCAD-26,2.73,2,>10000,OK
gnn_ASCAD-15,2.73,3,>10000,OK
gnn_ASCAD-13,2.73,3,>10000,OK
gnn_ASCAD-12,2.73,3,>10000,OK
gnn_ASCAD-23,2.73,3,8681,OK
gnn_ASCAD-21,2.73,3,1663,OK
gnn_ASCAD-20,2.73,3,>10000,OK
gnn_ASCAD-11,2.73,3,3373,OK
gnn_ASCAD-17,2.73,3,9654,OK
gnn_ASCAD-19,2.73,3,>10000,OK
gnn_ASCAD-22,2.73,4,2,OK
gnn_ASCAD-14,2.73,4,3494,OK
gnn_ASCAD-10,2.73,7,>10000,OK
gnn_ASCAD-9,2.73,8,>10000,OK
gnn_ASCAD-8,2.73,12,234,Weak
gnn_ASCAD-7,2.73,13,>10000,Weak
gnn_ASCAD-6,2.73,19,>10000,Weak
gnn_ASCAD-5,2.73,20,>10000,Weak
gnn_ASCAD-4,2.73,21,19,Weak
gnn_ASCAD-2,2.73,22,4811,Weak
gnn_ASCAD-3,2.73,23,636,Weak
gnn_ASCAD-1,0.00,238,>10000,Weak
