Name,SizeMB,Rank,BrokenAt,Status
gnn_ASCAD-1,0.00,123,>2000,Weak
gnn_ASCAD-26,2.73,128,>2000,Weak
gnn_ASCAD-21,2.73,132,>2000,Weak
gnn_ASCAD-18,2.73,132,>2000,Weak
gnn_ASCAD-24,2.73,132,>2000,Weak
gnn_ASCAD-22,2.73,133,>2000,Weak
gnn_ASCAD-19,2.73,133,>2000,Weak
gnn_ASCAD-20,2.73,133,>2000,Weak
gnn_ASCAD-23,2.73,133,>2000,Weak
gnn_ASCAD-25,2.73,133,>2000,Weak
gnn_ASCAD-3,2.73,135,>2000,Weak
gnn_ASCAD-17,2.73,135,>2000,Weak
gnn_ASCAD-16,2.73,136,>2000,Weak
gnn_ASCAD-2,2.73,137,>2000,Weak
gnn_ASCAD-4,2.73,137,>2000,Weak
gnn_ASCAD-15,2.73,138,>2000,Weak
gnn_ASCAD-5,2.73,139,>2000,Weak
gnn_ASCAD-13,2.73,140,>2000,Weak
gnn_ASCAD-11,2.73,141,>2000,Weak
gnn_ASCAD-12,2.73,141,>2000,Weak
gnn_ASCAD-14,2.73,142,>2000,Weak
gnn_ASCAD-6,2.73,143,>2000,Weak
gnn_ASCAD-8,2.73,144,>2000,Weak
gnn_ASCAD-7,2.73,145,>2000,Weak
gnn_ASCAD-10,2.73,148,>2000,Weak
gnn_ASCAD-9,2.73,155,>2000,Weak
