Checkpoint,Final_Rank,Traces_to_Rank_0
trans_long-1,249,N/A
trans_long-2,186,N/A
trans_long-3,236,N/A
trans_long-4,223,N/A
trans_long-5,230,N/A
trans_long-6,238,N/A
trans_long-7,210,N/A
trans_long-8,207,N/A
trans_long-9,210,N/A
trans_long-10,216,N/A
trans_long-11,192,N/A
trans_long-12,192,N/A
trans_long-13,156,N/A
trans_long-14,159,N/A
trans_long-15,142,N/A
trans_long-16,135,N/A
trans_long-17,134,N/A
trans_long-18,127,N/A
trans_long-19,123,N/A
trans_long-20,121,N/A
trans_long-21,120,N/A
