Name,SizeMB,Rank,BrokenAt,Status
gnn_ASCAD-1,0.00,20,>2000,Weak
gnn_ASCAD-4,2.73,37,>2000,Weak
gnn_ASCAD-3,2.73,41,>2000,Weak
gnn_ASCAD-2,2.73,43,21,Weak
gnn_ASCAD-5,2.73,43,>2000,Weak
gnn_ASCAD-6,2.73,54,>2000,Weak
gnn_ASCAD-8,2.73,58,>2000,Weak
gnn_ASCAD-11,2.73,63,>2000,Weak
gnn_ASCAD-12,2.73,63,>2000,Weak
gnn_ASCAD-10,2.73,63,>2000,Weak
gnn_ASCAD-7,2.73,63,>2000,Weak
gnn_ASCAD-9,2.73,67,>2000,Weak
gnn_ASCAD-14,2.73,69,>2000,Weak
gnn_ASCAD-13,2.73,70,>2000,Weak
gnn_ASCAD-16,2.73,79,>2000,Weak
gnn_ASCAD-15,2.73,79,>2000,Weak
gnn_ASCAD-17,2.73,81,>2000,Weak
gnn_ASCAD-18,2.73,85,>2000,Weak
gnn_ASCAD-19,2.73,91,>2000,Weak
gnn_ASCAD-20,2.73,92,>2000,Weak
gnn_ASCAD-24,2.73,97,>2000,Weak
gnn_ASCAD-26,2.73,98,>2000,Weak
gnn_ASCAD-23,2.73,98,>2000,Weak
gnn_ASCAD-21,2.73,100,>2000,Weak
gnn_ASCAD-22,2.73,100,>2000,Weak
gnn_ASCAD-25,2.73,102,>2000,Weak
