Name,SizeMB,Rank,BrokenAt,Status
gnn_ASCAD-10,2.73,0,116,OK
gnn_ASCAD-11,2.73,0,364,OK
gnn_ASCAD-12,2.73,0,504,OK
gnn_ASCAD-13,2.73,0,1067,OK
gnn_ASCAD-15,2.73,0,994,OK
gnn_ASCAD-14,2.73,0,1421,OK
gnn_ASCAD-16,2.73,0,1061,OK
gnn_ASCAD-17,2.73,0,1515,OK
gnn_ASCAD-21,2.73,0,1343,OK
gnn_ASCAD-18,2.73,0,1063,OK
gnn_ASCAD-19,2.73,0,1073,OK
gnn_ASCAD-20,2.73,0,42,OK
gnn_ASCAD-8,2.73,0,1669,OK
gnn_ASCAD-5,2.73,0,1767,OK
gnn_ASCAD-7,2.73,0,1358,OK
gnn_ASCAD-6,2.73,0,216,OK
gnn_ASCAD-9,2.73,0,1551,OK
gnn_ASCAD-25,2.73,1,1238,OK
gnn_ASCAD-22,2.73,1,1844,OK
gnn_ASCAD-23,2.73,1,330,OK
gnn_ASCAD-4,2.73,1,198,OK
gnn_ASCAD-26,2.73,1,170,OK
gnn_ASCAD-3,2.73,1,>2000,OK
gnn_ASCAD-24,2.73,1,1938,OK
gnn_ASCAD-2,2.73,2,>2000,OK
gnn_ASCAD-1,0.00,144,>2000,Weak
