Name,SizeMB,Rank,BrokenAt,Status
gnn_ASCAD-1,0.00,8,1,OK
gnn_ASCAD-2,2.73,81,>2000,Weak
gnn_ASCAD-10,2.73,85,>2000,Weak
gnn_ASCAD-9,2.73,86,>2000,Weak
gnn_ASCAD-4,2.73,87,>2000,Weak
gnn_ASCAD-11,2.73,89,>2000,Weak
gnn_ASCAD-14,2.73,89,>2000,Weak
gnn_ASCAD-13,2.73,90,>2000,Weak
gnn_ASCAD-12,2.73,95,>2000,Weak
gnn_ASCAD-3,2.73,97,>2000,Weak
gnn_ASCAD-8,2.73,98,>2000,Weak
gnn_ASCAD-5,2.73,102,25,Weak
gnn_ASCAD-15,2.73,103,>2000,Weak
gnn_ASCAD-17,2.73,104,>2000,Weak
gnn_ASCAD-6,2.73,106,>2000,Weak
gnn_ASCAD-16,2.73,106,>2000,Weak
gnn_ASCAD-7,2.73,109,>2000,Weak
gnn_ASCAD-18,2.73,117,>2000,Weak
gnn_ASCAD-21,2.73,123,>2000,Weak
gnn_ASCAD-22,2.73,124,>2000,Weak
gnn_ASCAD-20,2.73,125,>2000,Weak
gnn_ASCAD-25,2.73,125,>2000,Weak
gnn_ASCAD-19,2.73,127,>2000,Weak
gnn_ASCAD-26,2.73,129,14,Weak
gnn_ASCAD-23,2.73,131,>2000,Weak
gnn_ASCAD-24,2.73,132,>2000,Weak
